Title,PDF,EPUB,Other Links
Brain Games Python,https://leanpub.com/s/4B38CDDBE25F4AF49216FB1D740313D0.pdf,,https://leanpub.com/s/4B38CDDBE25F4AF49216FB1D740313D0.zip
Magical Haskell,https://leanpub.com/s/9B3D06C0C0C34FDFB34C02CBE86EBF00.pdf,https://leanpub.com/s/9B3D06C0C0C34FDFB34C02CBE86EBF00.epub,
15 Cheat Sheet Collection in Python + Git + NumPy + ML + Mindset,https://leanpub.com/s/FB6531C4FB624818AF263A97D5570A60.pdf,,
Cyber Security: Rules to Live By,https://leanpub.com/s/881654991DFB4363823569A3EFF596A6.pdf,https://leanpub.com/s/881654991DFB4363823569A3EFF596A6.epub,
DevOps: WTF?,https://leanpub.com/s/52BC2F0BC565400493978DE3C19653E8.pdf,https://leanpub.com/s/52BC2F0BC565400493978DE3C19653E8.epub,
Day Trading with ChatGPT,https://leanpub.com/s/7031E4A586814CC2A776F94A8D70FF8C.pdf,https://leanpub.com/s/7031E4A586814CC2A776F94A8D70FF8C.epub,
Personal Finance,https://leanpub.com/s/A41A659DD8D24346AE3FE932BF4B2119.pdf,https://leanpub.com/s/A41A659DD8D24346AE3FE932BF4B2119.epub,
The Culture of Learning,https://leanpub.com/s/A5B25CA575C242678F79A90B9AC11ABF.pdf,https://leanpub.com/s/A5B25CA575C242678F79A90B9AC11ABF.epub,
A Year With Symfony,https://leanpub.com/s/B2B73B05BF0C429E848B6ABD649CA9C3.pdf,https://leanpub.com/s/B2B73B05BF0C429E848B6ABD649CA9C3.epub,
5G Basics & Architecture,https://leanpub.com/s/DB7ED09F76184691A25586A977D5BD1D.pdf,,
Coffee Break Pandas,https://leanpub.com/s/DC4DB9C4B9F7471FAB426793A8BF7AB4.pdf,,
Achieving Success Through Passion,https://leanpub.com/s/D207B7571CD8427C91DF5D10DECE59AE.pdf,https://leanpub.com/s/D207B7571CD8427C91DF5D10DECE59AE.epub,
Delivery Excellence in software Product Development,https://leanpub.com/s/5261B135862042FC9EE4047E8E15D243.pdf,,
Sensing as a Service for Internet of Things: A Roadmap,https://leanpub.com/s/B43CA1340F21413C85738FCA77DF8864.pdf,,
HTTP World,https://leanpub.com/s/F62B2883016C4115B60ADD1A2E907C6D.pdf,https://leanpub.com/s/F62B2883016C4115B60ADD1A2E907C6D.epub,
Effective Pandas,https://leanpub.com/s/5C580DEED16D4200806EB32D8E46B987.pdf,https://leanpub.com/s/5C580DEED16D4200806EB32D8E46B987.epub,
Building a full Web-Stack with Docker and AWS Copilot,https://leanpub.com/s/C9B243FCE55945C69295B4D78B80C14C.pdf,,
Interaction Data Analytics,https://leanpub.com/s/F1E8F1742E634F18BBB720F827D1BCFB.pdf,,
Best Practices in Software Architecture in the Cloud era,https://leanpub.com/s/FEFD35FE172E40E3B6716398AC124867.pdf,https://leanpub.com/s/FEFD35FE172E40E3B6716398AC124867.epub,
"Delay Insensitive Circuits : Structures, Semantics, and Strategies",https://leanpub.com/s/A07858E77B874A2896F3BFBEB622E02C.pdf,,
Learn Python From 100+ Examples,https://leanpub.com/s/6428CBDCCE1741848E04622B63DE8144.pdf,,
Machine Learning Factory,https://leanpub.com/s/9EC975929EE74119AB3DA320B9016330.pdf,https://leanpub.com/s/9EC975929EE74119AB3DA320B9016330.epub,
A Major Event in PHP,https://leanpub.com/s/4282BC3CC5F24FFA9C4C60F23A00E6AE.pdf,https://leanpub.com/s/4282BC3CC5F24FFA9C4C60F23A00E6AE.epub,
Flip: projects to products,https://leanpub.com/s/1CADB5E141EC426FBFCAE4AEE9039383.pdf,,
